Call Id,Date,Agent,Department,Answered (Y/N),Resolved,Speed of Answer,AvgTalkDuration,Satisfaction rating,Column1
ID0072,2/1/2016 11:08,Stewart,Fridge,Y,Y,113,0:05:51,5,FALSE
ID0073,2/1/2016 11:26,Greg,Toaster,Y,N,10,0:02:19,5,FALSE
ID0074,2/1/2016 11:26,Becky,Washing Machine,Y,Y,122,0:04:53,1,FALSE
ID0075,2/1/2016 11:42,Stewart,Air Conditioner,Y,N,125,0:01:38,3,FALSE
ID0076,2/1/2016 11:42,Diane,Fridge,N,N,,,,FALSE
ID0077,2/1/2016 11:47,Martha,Air Conditioner,Y,Y,33,0:06:38,2,FALSE
ID0078,2/1/2016 11:47,Dan,Washing Machine,Y,Y,51,0:06:22,2,FALSE
ID0079,2/1/2016 11:54,Becky,Washing Machine,Y,Y,58,0:03:28,3,FALSE
ID0080,2/1/2016 11:54,Dan,Fridge,Y,Y,121,0:04:47,5,FALSE
ID0081,2/1/2016 12:00,Diane,Fridge,Y,Y,118,0:02:06,4,FALSE
ID0082,2/1/2016 12:00,Greg,Toaster,Y,Y,52,0:06:56,4,FALSE
ID0083,2/1/2016 12:20,Stewart,Fridge,Y,Y,55,0:04:44,3,FALSE
ID0084,2/1/2016 12:20,Dan,Washing Machine,Y,Y,68,0:05:59,4,FALSE
ID0085,2/1/2016 12:41,Becky,Air Conditioner,Y,Y,106,0:04:22,5,FALSE
ID0086,2/1/2016 12:41,Martha,Air Conditioner,Y,Y,32,0:04:36,3,FALSE
ID0087,2/1/2016 12:44,Jim,Toaster,N,N,,,,FALSE
ID0088,2/1/2016 12:44,Martha,Fridge,Y,N,45,0:01:26,4,FALSE
ID0089,2/1/2016 12:59,Joe,Air Conditioner,Y,Y,119,0:03:32,4,FALSE
ID0090,2/1/2016 12:59,Dan,Television,N,N,,,,FALSE
ID0091,2/1/2016 13:03,Jim,Washing Machine,Y,Y,46,0:05:41,1,FALSE
ID0092,2/1/2016 13:03,Stewart,Air Conditioner,Y,Y,101,0:01:28,3,FALSE
ID0093,2/1/2016 13:04,Jim,Air Conditioner,Y,Y,56,0:02:52,3,FALSE
ID0094,2/1/2016 13:04,Becky,Air Conditioner,Y,Y,80,0:00:53,3,FALSE
ID0095,2/1/2016 13:13,Diane,Television,Y,Y,24,0:01:36,3,FALSE
ID0096,2/1/2016 13:13,Stewart,Toaster,Y,Y,113,0:03:54,2,FALSE
ID0097,2/1/2016 13:20,Greg,Washing Machine,Y,Y,19,0:02:03,4,FALSE
ID0098,2/1/2016 13:20,Martha,Television,N,N,,,,FALSE
ID0099,2/1/2016 13:20,Dan,Washing Machine,Y,Y,45,0:06:37,3,FALSE
ID0100,2/1/2016 13:20,Diane,Air Conditioner,Y,Y,95,0:05:11,1,FALSE
ID0101,2/1/2016 13:45,Becky,Air Conditioner,N,N,,,,FALSE
ID0102,2/1/2016 13:45,Martha,Air Conditioner,Y,N,79,0:05:31,1,FALSE
ID0103,2/1/2016 13:49,Diane,Toaster,Y,Y,22,0:03:56,2,FALSE
ID0104,2/1/2016 13:49,Martha,Washing Machine,Y,Y,38,0:06:36,1,FALSE
ID0105,2/1/2016 13:53,Becky,Air Conditioner,Y,Y,112,0:03:25,5,FALSE
ID0106,2/1/2016 13:53,Becky,Toaster,Y,Y,65,0:04:57,3,FALSE
ID0107,2/1/2016 14:22,Joe,Television,N,N,,,,FALSE
ID0108,2/1/2016 14:22,Becky,Washing Machine,Y,N,55,0:02:32,1,FALSE
ID0109,2/1/2016 14:52,Stewart,Fridge,N,N,,,,FALSE
ID0110,2/1/2016 14:52,Joe,Television,Y,Y,19,0:02:38,2,FALSE
ID0111,2/1/2016 15:10,Becky,Air Conditioner,Y,Y,53,0:00:56,3,FALSE
ID0112,2/1/2016 15:10,Diane,Air Conditioner,Y,Y,24,0:06:06,5,FALSE
ID0113,2/1/2016 15:36,Martha,Television,Y,Y,73,0:06:01,3,FALSE
ID0114,2/1/2016 15:36,Stewart,Air Conditioner,N,N,,,,FALSE
ID0115,2/1/2016 17:36,Jim,Air Conditioner,Y,Y,55,0:05:47,5,FALSE
ID0116,2/1/2016 17:36,Greg,Toaster,N,N,,,,FALSE
ID0117,2/1/2016 17:47,Diane,Television,N,N,,,,FALSE
ID0118,2/1/2016 17:47,Martha,Television,Y,Y,23,0:05:18,4,FALSE
ID0119,3/1/2016 9:10,Dan,Toaster,Y,N,124,0:02:23,5,FALSE
ID0120,3/1/2016 9:10,Dan,Washing Machine,N,N,,,,FALSE
ID0121,3/1/2016 9:47,Dan,Air Conditioner,Y,Y,103,0:01:01,4,FALSE
ID0122,3/1/2016 9:47,Martha,Washing Machine,Y,Y,69,0:03:45,4,FALSE
ID0123,3/1/2016 10:29,Joe,Television,Y,Y,78,0:01:12,3,FALSE
ID0124,3/1/2016 10:29,Martha,Air Conditioner,Y,Y,78,0:03:26,5,FALSE
ID0125,3/1/2016 10:37,Martha,Air Conditioner,N,N,,,,FALSE
ID0126,3/1/2016 10:37,Diane,Toaster,Y,Y,44,0:05:38,4,FALSE
ID0127,3/1/2016 10:52,Martha,Fridge,Y,Y,35,0:02:46,4,FALSE
ID0128,3/1/2016 10:52,Becky,Fridge,Y,Y,102,0:05:26,4,FALSE
ID0129,3/1/2016 10:52,Jim,Washing Machine,Y,Y,99,0:05:51,3,FALSE
ID0130,3/1/2016 10:52,Jim,Fridge,Y,Y,29,0:04:09,3,FALSE
ID0131,3/1/2016 10:58,Becky,Fridge,Y,N,42,0:00:59,5,FALSE
ID0132,3/1/2016 10:58,Diane,Toaster,Y,Y,113,0:05:40,4,FALSE
ID0133,3/1/2016 11:02,Dan,Fridge,Y,Y,124,0:00:53,2,FALSE
ID0134,3/1/2016 11:02,Jim,Air Conditioner,N,N,,,,FALSE
ID0135,3/1/2016 11:03,Dan,Toaster,Y,Y,55,0:02:13,1,FALSE
ID0136,3/1/2016 11:03,Greg,Air Conditioner,Y,N,105,0:05:59,3,FALSE
ID0137,3/1/2016 11:06,Stewart,Washing Machine,Y,N,112,0:03:12,5,FALSE
ID0138,3/1/2016 11:06,Martha,Washing Machine,N,N,,,,FALSE
ID0139,3/1/2016 11:16,Becky,Air Conditioner,Y,Y,43,0:06:20,5,FALSE
ID0140,3/1/2016 11:16,Joe,Toaster,Y,Y,20,0:01:44,3,FALSE
ID0141,3/1/2016 11:26,Greg,Air Conditioner,Y,Y,84,0:01:43,5,FALSE
ID0142,3/1/2016 11:26,Jim,Washing Machine,Y,Y,20,0:02:44,4,FALSE
ID0143,3/1/2016 11:38,Greg,Television,Y,Y,101,0:02:16,3,FALSE
ID0144,3/1/2016 11:38,Diane,Air Conditioner,Y,Y,31,0:02:55,5,FALSE
ID0145,3/1/2016 11:52,Jim,Washing Machine,Y,Y,56,0:04:09,5,FALSE
ID0146,3/1/2016 11:52,Joe,Washing Machine,N,N,,,,FALSE
ID0147,3/1/2016 11:55,Joe,Toaster,Y,Y,77,0:01:27,5,FALSE
ID0148,3/1/2016 11:55,Jim,Toaster,Y,Y,46,0:00:50,4,FALSE
ID0149,3/1/2016 11:58,Stewart,Fridge,Y,Y,88,0:04:26,3,FALSE
ID0150,3/1/2016 11:58,Diane,Toaster,Y,Y,88,0:00:58,1,FALSE
ID0151,3/1/2016 12:33,Joe,Air Conditioner,Y,Y,124,0:06:03,1,FALSE
ID0152,3/1/2016 12:33,Stewart,Washing Machine,N,N,,,,FALSE
ID0153,3/1/2016 12:54,Martha,Toaster,Y,N,52,0:06:59,4,FALSE
ID0154,3/1/2016 12:54,Joe,Fridge,Y,Y,67,0:06:10,5,FALSE
ID0155,3/1/2016 13:12,Martha,Toaster,Y,Y,119,0:04:16,3,FALSE
ID0156,3/1/2016 13:12,Dan,Fridge,Y,Y,98,0:04:37,2,FALSE
ID0157,3/1/2016 13:14,Jim,Air Conditioner,N,N,,,,FALSE
ID0158,3/1/2016 13:14,Joe,Air Conditioner,Y,Y,118,0:04:18,3,FALSE
ID0159,3/1/2016 13:27,Becky,Fridge,Y,Y,123,0:01:15,3,FALSE
ID0160,3/1/2016 13:27,Becky,Television,Y,N,86,0:05:37,1,FALSE
ID0161,3/1/2016 13:35,Greg,Fridge,Y,Y,104,0:02:09,3,FALSE
ID0162,3/1/2016 13:35,Greg,Toaster,Y,Y,69,0:01:33,2,FALSE
ID0163,3/1/2016 13:58,Dan,Washing Machine,Y,Y,113,0:02:38,1,FALSE
ID0164,3/1/2016 13:58,Joe,Television,Y,Y,88,0:03:23,5,FALSE
ID0165,3/1/2016 13:58,Joe,Television,N,N,,,,FALSE
ID0166,3/1/2016 13:58,Stewart,Toaster,N,N,,,,FALSE
ID0167,3/1/2016 14:03,Joe,Toaster,Y,Y,84,0:00:58,2,FALSE
ID0168,3/1/2016 14:03,Diane,Television,Y,Y,113,0:01:22,3,FALSE
ID0169,3/1/2016 14:47,Joe,Television,Y,Y,38,0:05:31,4,FALSE
ID0170,3/1/2016 14:47,Dan,Television,Y,Y,14,0:06:14,4,FALSE
ID0171,3/1/2016 15:34,Martha,Television,Y,N,25,0:05:32,4,FALSE
ID0172,3/1/2016 15:34,Dan,Washing Machine,N,N,,,,FALSE
ID0173,3/1/2016 16:29,Diane,Air Conditioner,N,N,,,,FALSE
ID0174,3/1/2016 16:29,Joe,Toaster,Y,Y,117,0:02:07,4,FALSE
ID0175,3/1/2016 17:31,Stewart,Toaster,Y,N,57,0:06:01,2,FALSE
ID0176,3/1/2016 17:31,Martha,Air Conditioner,Y,Y,119,0:05:19,5,FALSE
ID0177,4/1/2016 9:01,Martha,Washing Machine,N,N,,,,TRUE
ID0178,4/1/2016 9:01,Diane,Television,Y,Y,93,0:06:32,5,TRUE
ID0179,4/1/2016 9:31,Martha,Toaster,Y,Y,86,0:01:04,4,TRUE
ID0180,4/1/2016 9:31,Joe,Television,N,N,,,,TRUE
ID0181,4/1/2016 9:43,Dan,Washing Machine,Y,Y,92,0:02:59,3,TRUE
ID0182,4/1/2016 9:43,Greg,Television,N,N,,,,TRUE
ID0183,4/1/2016 10:03,Martha,Air Conditioner,Y,Y,106,0:05:42,3,TRUE
ID0184,4/1/2016 10:03,Stewart,Air Conditioner,Y,Y,67,0:02:44,3,TRUE
ID0185,4/1/2016 10:27,Jim,Television,Y,Y,90,0:04:17,3,TRUE
ID0186,4/1/2016 10:27,Diane,Air Conditioner,N,N,,,,TRUE
ID0187,4/1/2016 11:09,Becky,Television,Y,N,50,0:03:49,4,TRUE
ID0188,4/1/2016 11:09,Diane,Fridge,Y,N,89,0:04:16,3,TRUE
ID0189,4/1/2016 11:13,Jim,Fridge,Y,Y,74,0:06:18,3,TRUE
ID0190,4/1/2016 11:13,Martha,Toaster,Y,Y,63,0:02:22,2,TRUE
ID0191,4/1/2016 11:18,Becky,Washing Machine,Y,Y,45,0:06:31,5,TRUE
ID0192,4/1/2016 11:18,Martha,Air Conditioner,N,N,,,,TRUE
ID0193,4/1/2016 11:22,Dan,Toaster,Y,Y,31,0:06:43,2,TRUE
ID0194,4/1/2016 11:22,Joe,Television,N,N,,,,TRUE
ID0195,4/1/2016 11:32,Joe,Washing Machine,Y,Y,43,0:03:44,5,TRUE
ID0196,4/1/2016 11:32,Martha,Television,Y,Y,50,0:05:42,4,TRUE
ID0197,4/1/2016 12:02,Dan,Air Conditioner,Y,Y,48,0:05:12,4,TRUE
ID0198,4/1/2016 12:02,Martha,Fridge,Y,Y,113,0:02:44,5,TRUE
ID0199,4/1/2016 12:15,Jim,Television,N,N,,,,TRUE
ID0200,4/1/2016 12:15,Joe,Air Conditioner,Y,Y,103,0:06:40,5,TRUE
ID0201,4/1/2016 12:15,Becky,Air Conditioner,Y,N,95,0:04:27,3,TRUE
ID0202,4/1/2016 12:15,Joe,Fridge,Y,Y,30,0:05:04,1,TRUE
ID0203,4/1/2016 13:32,Greg,Fridge,Y,Y,124,0:03:19,3,TRUE
ID0204,4/1/2016 13:32,Diane,Fridge,Y,Y,17,0:02:03,5,TRUE
ID0205,4/1/2016 13:45,Stewart,Television,Y,Y,113,0:06:00,3,TRUE
ID0206,4/1/2016 13:45,Jim,Air Conditioner,Y,Y,25,0:02:27,5,TRUE
ID0207,4/1/2016 13:56,Jim,Fridge,Y,Y,52,0:04:22,5,TRUE
ID0208,4/1/2016 13:56,Dan,Fridge,Y,Y,28,0:02:44,5,TRUE
ID0209,4/1/2016 14:25,Greg,Air Conditioner,Y,Y,69,0:03:05,3,TRUE
ID0210,4/1/2016 14:25,Martha,Television,Y,Y,106,0:03:52,3,TRUE
ID0211,4/1/2016 14:28,Jim,Air Conditioner,N,N,,,,TRUE
ID0212,4/1/2016 14:28,Joe,Toaster,Y,Y,26,0:04:59,3,TRUE
ID0213,4/1/2016 14:31,Joe,Toaster,Y,Y,53,0:05:55,4,TRUE
ID0214,4/1/2016 14:31,Martha,Air Conditioner,Y,Y,77,0:04:10,2,TRUE
ID0215,4/1/2016 14:49,Jim,Washing Machine,Y,Y,45,0:03:02,3,TRUE
ID0216,4/1/2016 14:49,Becky,Air Conditioner,N,N,,,,TRUE
ID0217,4/1/2016 15:23,Greg,Television,Y,Y,56,0:04:16,4,TRUE
ID0218,4/1/2016 15:23,Stewart,Fridge,Y,Y,13,0:03:56,2,TRUE
ID0219,4/1/2016 15:48,Stewart,Fridge,Y,Y,120,0:06:50,5,TRUE
ID0220,4/1/2016 15:48,Diane,Toaster,Y,Y,22,0:00:50,1,TRUE
ID0221,4/1/2016 16:48,Martha,Toaster,Y,Y,81,0:03:21,4,TRUE
ID0222,4/1/2016 16:48,Jim,Television,N,N,,,,TRUE
ID0223,4/1/2016 16:49,Martha,Washing Machine,Y,Y,71,0:00:48,2,TRUE
ID0224,4/1/2016 16:49,Stewart,Toaster,Y,Y,75,0:01:33,4,TRUE
ID0225,4/1/2016 16:49,Martha,Air Conditioner,Y,Y,77,0:02:42,4,TRUE
ID0226,4/1/2016 16:49,Joe,Television,Y,Y,88,0:06:27,4,TRUE
ID0227,4/1/2016 17:35,Stewart,Fridge,Y,Y,82,0:03:05,2,TRUE
ID0228,4/1/2016 17:35,Jim,Air Conditioner,Y,Y,110,0:06:30,3,TRUE
ID0229,4/1/2016 17:39,Martha,Fridge,Y,N,70,0:01:32,3,TRUE
ID0230,4/1/2016 17:39,Becky,Fridge,Y,Y,117,0:03:40,3,TRUE
ID0231,5/1/2016 9:08,Joe,Television,Y,Y,18,0:00:50,3,TRUE
ID0232,5/1/2016 9:08,Joe,Television,Y,Y,113,0:02:36,4,TRUE
ID0233,5/1/2016 9:25,Stewart,Washing Machine,Y,N,68,0:03:29,5,TRUE
ID0234,5/1/2016 9:25,Greg,Toaster,Y,Y,67,0:04:14,5,TRUE
ID0235,5/1/2016 9:33,Joe,Air Conditioner,Y,Y,36,0:01:07,5,TRUE
ID0236,5/1/2016 9:33,Stewart,Television,N,N,,,,TRUE
ID0237,5/1/2016 10:00,Becky,Air Conditioner,Y,Y,33,0:02:30,1,TRUE
ID0238,5/1/2016 10:00,Dan,Washing Machine,Y,Y,113,0:01:59,5,TRUE
ID0239,5/1/2016 10:49,Greg,Washing Machine,Y,Y,106,0:06:19,3,TRUE
ID0240,5/1/2016 10:49,Joe,Television,Y,Y,23,0:04:59,3,TRUE
ID0241,5/1/2016 11:31,Joe,Television,N,N,,,,TRUE
ID0242,5/1/2016 11:31,Greg,Toaster,Y,Y,11,0:04:42,1,TRUE
ID0243,5/1/2016 11:41,Greg,Washing Machine,Y,Y,73,0:04:45,5,TRUE
ID0244,5/1/2016 11:41,Dan,Fridge,Y,Y,109,0:04:49,5,TRUE
ID0245,5/1/2016 11:49,Martha,Toaster,Y,Y,29,0:04:14,4,TRUE
ID0246,5/1/2016 11:49,Dan,Television,N,N,,,,TRUE
ID0247,5/1/2016 11:49,Becky,Fridge,Y,Y,81,0:01:14,4,TRUE
ID0248,5/1/2016 11:49,Greg,Washing Machine,Y,Y,59,0:03:52,1,TRUE
ID0249,5/1/2016 12:00,Becky,Television,Y,Y,32,0:06:29,4,TRUE
ID0250,5/1/2016 12:00,Martha,Fridge,Y,Y,116,0:00:42,4,TRUE
ID0251,5/1/2016 12:12,Diane,Toaster,Y,Y,92,0:01:55,5,TRUE
ID0252,5/1/2016 12:12,Greg,Television,Y,Y,62,0:06:02,5,TRUE
ID0253,5/1/2016 13:04,Joe,Toaster,Y,Y,83,0:01:53,5,TRUE
ID0254,5/1/2016 13:04,Joe,Fridge,Y,Y,71,0:02:31,3,TRUE
ID0255,5/1/2016 13:59,Greg,Fridge,Y,N,74,0:04:32,3,TRUE
ID0256,5/1/2016 13:59,Joe,Air Conditioner,Y,Y,96,0:05:46,4,TRUE
ID0257,5/1/2016 14:42,Diane,Fridge,Y,Y,110,0:01:41,1,TRUE
ID0258,5/1/2016 14:42,Jim,Television,Y,N,110,0:02:38,3,TRUE
ID0259,5/1/2016 15:18,Dan,Air Conditioner,Y,Y,117,0:03:03,4,TRUE
ID0260,5/1/2016 15:18,Becky,Fridge,Y,Y,44,0:05:53,3,TRUE
ID0261,5/1/2016 15:20,Diane,Washing Machine,Y,Y,47,0:06:02,4,TRUE
ID0262,5/1/2016 15:20,Greg,Fridge,Y,Y,97,0:01:16,3,TRUE
ID0263,5/1/2016 15:31,Greg,Television,Y,Y,67,0:02:39,4,TRUE
ID0264,5/1/2016 15:31,Diane,Television,Y,Y,72,0:06:48,3,TRUE
ID0265,5/1/2016 15:31,Becky,Washing Machine,Y,Y,68,0:04:21,3,TRUE
ID0266,5/1/2016 15:31,Joe,Toaster,Y,Y,98,0:06:22,5,TRUE
ID0267,5/1/2016 15:37,Joe,Television,Y,Y,120,0:00:56,3,TRUE
ID0268,5/1/2016 15:37,Dan,Toaster,Y,Y,13,0:02:33,1,TRUE
ID0269,5/1/2016 15:44,Jim,Fridge,Y,Y,95,0:01:47,5,TRUE
ID0270,5/1/2016 15:44,Martha,Toaster,Y,Y,31,0:00:42,5,TRUE
ID0271,5/1/2016 16:06,Dan,Television,Y,Y,113,0:06:22,3,TRUE
ID0272,5/1/2016 16:06,Martha,Air Conditioner,Y,Y,116,0:04:40,3,TRUE
ID0273,5/1/2016 16:16,Martha,Fridge,Y,N,94,0:05:29,5,TRUE
ID0274,5/1/2016 16:16,Martha,Fridge,Y,N,51,0:04:42,4,TRUE
ID0275,5/1/2016 16:27,Diane,Air Conditioner,Y,Y,60,0:04:07,4,TRUE
ID0276,5/1/2016 16:27,Diane,Washing Machine,Y,Y,59,0:06:04,2,TRUE
ID0277,5/1/2016 17:25,Stewart,Air Conditioner,N,N,,,,TRUE
ID0278,5/1/2016 17:25,Greg,Toaster,N,N,,,,TRUE
ID0279,5/1/2016 17:29,Joe,Air Conditioner,N,N,,,,TRUE
ID0280,5/1/2016 17:29,Dan,Washing Machine,Y,Y,16,0:03:33,4,TRUE
ID0281,5/1/2016 17:38,Diane,Air Conditioner,Y,Y,81,0:01:51,3,TRUE
ID0282,5/1/2016 17:38,Joe,Television,Y,Y,65,0:06:46,1,TRUE
ID0283,5/1/2016 17:44,Martha,Television,Y,Y,55,0:03:04,2,TRUE
ID0284,5/1/2016 17:44,Martha,Air Conditioner,N,N,,,,TRUE
ID0285,5/1/2016 17:57,Martha,Air Conditioner,Y,Y,31,0:02:25,4,TRUE
ID0286,5/1/2016 17:57,Diane,Television,Y,Y,45,0:05:13,2,TRUE
ID0287,6/1/2016 9:08,Greg,Air Conditioner,N,N,,,,TRUE
ID0288,6/1/2016 9:08,Stewart,Toaster,Y,Y,43,0:02:09,5,TRUE
ID0289,6/1/2016 10:06,Stewart,Air Conditioner,Y,Y,55,0:05:56,4,TRUE
ID0290,6/1/2016 10:06,Stewart,Washing Machine,Y,Y,63,0:02:19,3,TRUE
ID0291,6/1/2016 10:07,Joe,Toaster,N,N,,,,TRUE
ID0292,6/1/2016 10:07,Jim,Washing Machine,Y,Y,122,0:05:52,1,TRUE
ID0293,6/1/2016 10:32,Stewart,Washing Machine,Y,Y,71,0:02:39,4,TRUE
ID0294,6/1/2016 10:32,Jim,Air Conditioner,Y,Y,54,0:04:57,4,TRUE
ID0295,6/1/2016 10:42,Stewart,Television,Y,Y,74,0:03:22,4,TRUE
ID0296,6/1/2016 10:42,Stewart,Fridge,Y,Y,125,0:04:47,4,TRUE
ID0297,6/1/2016 11:12,Dan,Toaster,Y,Y,110,0:03:43,3,TRUE
ID0298,6/1/2016 11:12,Becky,Television,N,N,,,,TRUE
ID0299,6/1/2016 11:29,Martha,Air Conditioner,Y,Y,74,0:01:31,5,TRUE
ID0300,6/1/2016 11:29,Diane,Toaster,Y,Y,80,0:04:27,4,TRUE
ID0301,6/1/2016 11:38,Dan,Toaster,N,N,,,,TRUE
ID0302,6/1/2016 11:38,Joe,Washing Machine,Y,Y,110,0:03:54,2,TRUE
ID0303,6/1/2016 11:45,Stewart,Toaster,Y,Y,26,0:03:08,3,TRUE
ID0304,6/1/2016 11:45,Greg,Air Conditioner,N,N,,,,TRUE
ID0305,6/1/2016 12:05,Joe,Fridge,Y,Y,97,0:01:47,3,TRUE
ID0306,6/1/2016 12:05,Dan,Fridge,Y,N,82,0:05:40,3,TRUE
ID0307,6/1/2016 12:07,Becky,Television,Y,N,102,0:05:53,5,TRUE
